OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
38059,2008,CA,CDF,MEU,HARDY CREEK LIGHTNING,004973,2008/06/21 00:00:00+00,2008/07/11 00:00:00+00,5354,5354.21630859,1,36675332.7511125,59140.7462396293
38073,2008,CA,CDF,MEU,RED MOUNTAIN LIGHTNING,004695,2008/06/21 00:00:00+00,2008/08/01 00:00:00+00,7513,7513.30615234,1,51711370.9449997,49151.6290521929
38085,2008,CA,CDF,MEU,SUGARLOAF,004696,2008/06/21 00:00:00+00,2008/07/09 00:00:00+00,6928,6927.81640625,1,46483434.1028205,36379.8118422692
38120,2008,CA,CDF,MMU,TELEGRAPH,009779,2008/07/25 00:00:00+00,2008/08/01 00:00:00+00,34091,34083.80078125,1,220147697.156799,110613.669408585
38172,2008,CA,CCO,RRU,FREEWAY_COMPLEX,099962,2008/11/15 00:00:00+00,2008/11/18 00:00:00+00,30305,30305.23242188,1,178551869.012032,109754.874212339
38216,2008,CA,CDF,BTU,HUMBOLDT,007089,2008/06/11 00:00:00+00,2008/06/16 00:00:00+00,23344,23344.33398438,1,159799626.43658,98359.2931075873
38218,2008,CA,USF,TNF,WESTVILLE,00000041,2008/06/21 00:00:00+00,2008/08/01 00:00:00+00,10417,11090.15332031,1,74830394.9436995,61483.6852160517
38219,2008,CA,USF,TNF,GOVERNMENT,00000037,2008/06/21 00:00:00+00,2008/08/01 00:00:00+00,9164,9219.73144531,1,62246944.5042205,56921.6989946406
38231,2008,CA,USF,ANF,SAYRE,00000139,2008/11/14 00:00:00+00,2008/12/05 00:00:00+00,11262.63,11260.1875,1,66998806.3673775,58176.4479040314
38252,2008,CA,USF,KNF,CARIBOU,00000026,2008/06/21 00:00:00+00,2008/12/16 00:00:00+00,13116,13126.68359375,1,93518092.5347115,83026.5672012095
38254,2008,CA,USF,KNF,PANTHER,00000057,2008/07/22 00:00:00+00,2008/10/14 00:00:00+00,44452,44497.17578125,1,322160260.260381,319159.71137413
38255,2008,CA,USF,KNF,DARK,00000011,2008/06/21 00:00:00+00,2008/07/23 00:00:00+00,10384,10389.64160156,1,75366295.7354517,57963.7036045383
38259,2008,CA,USF,LNF,CUB,00000013,2008/06/21 00:00:00+00,2008/07/21 00:00:00+00,14936,14728.50390625,1,102252791.46224,60176.9066149898
38260,2008,CA,CDF,LNF,PETERSON,00000046,2008/06/21 00:00:00+00,2008/07/01 00:00:00+00,2750,8021.85449219,1,56906601.9542957,53544.393010956
38268,2008,CA,USF,LPF,GAP,00000020,2008/07/01 00:00:00+00,2008/07/17 00:00:00+00,9443,9544.73242188,1,56989447.2608482,63581.3101342396
38269,2008,CA,USF,LPF,CHALK,00000034,2008/09/27 00:00:00+00,2008/10/30 00:00:00+00,11200,16265.77050781,1,100818461.388709,68988.2706834844
38270,2008,CA,USF,MNF,WHISKEY,00000003,2008/06/12 00:00:00+00,2008/10/27 00:00:00+00,7783,7783.40771484,1,53513506.3671865,51703.3093429549
38280,2008,CA,USF,LPF,INDIANS,00000012,2008/06/08 00:00:00+00,2008/07/10 00:00:00+00,81378,76459.78125,1,475593125.754496,130433.756632244
38281,2008,CA,USF,LPF,BASIN COMPLEX,00000016,2008/06/21 00:00:00+00,2008/07/27 00:00:00+00,162818,163606.6875,1,1020285142.07726,211945.522428404
38282,2008,CA,USF,SHF,IRON,00000118,2008/06/21 00:00:00+00,2008/08/23 00:00:00+00,32903,30660.01757813,1,212550693.289923,129432.629525612
38285,2008,CA,USF,SHF,MINERS,00000106,2008/06/21 00:00:00+00,2008/10/31 00:00:00+00,24776,24876.33984375,1,174999340.820951,94874.2536334139
38286,2008,CA,USF,SHF,EAGLE,00000066,2008/06/21 00:00:00+00,2008/10/04 00:00:00+00,32059,32023.89453125,1,225797691.050308,127673.429110583
38287,2008,CA,USF,MNF,GROUSE,00000033,2008/06/21 00:00:00+00,2008/07/05 00:00:00+00,6246,6323.49755859,1,43820904.0173228,64335.0102104744
38288,2008,CA,USF,MNF,VINEGAR,00000030,2008/06/22 00:00:00+00,2008/06/25 00:00:00+00,17449,14544.00390625,1,100639614.040642,125110.534700427
38289,2008,CA,USF,MNF,YELLOW,00000047,2008/06/21 00:00:00+00,2008/11/20 00:00:00+00,32250,31932.86914063,1,220872594.948435,163674.171279766
38297,2008,CA,USF,SRF,BLUE 2,00000026,2008/06/21 00:00:00+00,2008/10/03 00:00:00+00,17540,17552.39453125,1,126879091.191867,92843.051785602
38299,2008,CA,USF,PNF,SOUTH-FREY,00000052,2008/06/21 00:00:00+00,2008/08/31 00:00:00+00,11000,12401.953125,1,84821958.9776425,67799.9699838182
38300,2008,CA,USF,PNF,SCOTCH,,2008/06/21 00:00:00+00,2008/08/31 00:00:00+00,13009,13008.35449219,1,89164536.7598528,71495.646485055
38301,2008,CA,USF,SRF,HAYPRESS,,2008/06/21 00:00:00+00,2008/10/03 00:00:00+00,13654,13664.68261719,1,98571551.8538433,76506.7977608524
38302,2008,CA,USF,SRF,JAKE,,2008/06/21 00:00:00+00,2008/10/03 00:00:00+00,38394,38416.58203125,1,276094535.122114,131763.500332295
38303,2008,CA,USF,SRF,MERRILL,,2008/06/21 00:00:00+00,2008/10/03 00:00:00+00,8332,8339.33300781,1,60044243.2406902,48245.1724496947
